year,state,yield_bu_acre
2002,Georgia,130.0
2003,Georgia,126.0
2003,Georgia,140.0
2003,Georgia,135.0
2003,Georgia,135.0
2003,Georgia,135.0
2004,Georgia,128.0
2004,Georgia,125.0
2004,Georgia,130.0
2004,Georgia,130.0
2004,Georgia,130.0
2005,Georgia,128.0
2005,Georgia,129.0
2005,Georgia,127.0
2005,Georgia,127.0
2005,Georgia,125.0
2006,Georgia,110.0
2006,Georgia,102.0
2006,Georgia,114.0
2006,Georgia,109.0
2006,Georgia,104.0
2007,Georgia,127.0
2007,Georgia,115.0
2007,Georgia,118.0
2007,Georgia,118.0
2007,Georgia,120.0
2008,Georgia,140.0
2008,Georgia,140.0
2008,Georgia,125.0
2008,Georgia,130.0
2008,Georgia,135.0
2009,Georgia,140.0
2009,Georgia,148.0
2009,Georgia,140.0
2009,Georgia,140.0
2009,Georgia,143.0
2010,Georgia,146.0
2010,Georgia,138.0
2010,Georgia,140.0
2010,Georgia,140.0
2010,Georgia,142.0
2011,Georgia,159.0
2011,Georgia,148.0
2011,Georgia,152.0
2011,Georgia,152.0
2011,Georgia,147.0
2012,Georgia,180.0
2012,Georgia,175.0
2012,Georgia,190.0
2012,Georgia,190.0
2012,Georgia,185.0
2013,Georgia,175.0
2013,Georgia,181.0
2013,Georgia,183.0
2013,Georgia,183.0
2014,Georgia,170.0
2014,Georgia,162.0
2014,Georgia,170.0
2014,Georgia,169.0
2014,Georgia,167.0
2015,Georgia,171.0
2015,Georgia,180.0
2015,Georgia,181.0
2015,Georgia,184.0
2015,Georgia,184.0
2016,Georgia,165.0
2016,Georgia,178.0
2016,Georgia,175.0
2016,Georgia,178.0
2016,Georgia,175.0
2017,Georgia,176.0
2017,Georgia,178.0
2017,Georgia,179.0
2017,Georgia,184.0
2017,Georgia,182.0
2018,Georgia,176.0
2018,Georgia,173.0
2018,Georgia,169.0
2018,Georgia,170.0
2018,Georgia,170.0
2019,Georgia,160.0
2019,Georgia,170.0
2019,Georgia,168.0
2019,Georgia,168.0
2019,Georgia,166.0
2020,Georgia,180.0
2020,Georgia,181.0
2020,Georgia,182.0
2020,Georgia,182.0
2020,Georgia,181.0
2021,Georgia,182.0
2021,Georgia,170.0
2021,Georgia,180.0
2021,Georgia,176.0
2021,Georgia,172.0
2022,Georgia,175.0
2022,Georgia,166.0
2022,Georgia,168.0
2022,Georgia,171.0
2022,Georgia,171.0
2023,Georgia,174.0
2023,Georgia,174.0
2023,Georgia,183.0
2023,Georgia,177.0
2023,Georgia,177.0
2024,Georgia,163.0
2024,Georgia,149.0
2024,Georgia,142.0
2024,Georgia,149.0
2024,Georgia,146.0
2025,Georgia,187.0
2025,Georgia,179.0
2025,Georgia,182.0
2025,Georgia,182.0
2000,Idaho,160.0
2001,Idaho,150.0
2002,Idaho,155.0
2003,Idaho,140.0
2004,Idaho,175.0
2005,Idaho,170.0
2006,Idaho,170.0
2007,Idaho,170.0
2008,Idaho,170.0
2009,Idaho,185.0
2010,Idaho,190.0
2011,Idaho,189.0
2012,Idaho,195.0
2013,Idaho,181.0
2014,Idaho,200.0
2015,Idaho,207.0
2016,Idaho,188.0
2016,Idaho,210.0
2016,Idaho,220.0
2016,Idaho,215.0
2016,Idaho,210.0
2017,Idaho,203.0
2017,Idaho,200.0
2017,Idaho,210.0
2017,Idaho,210.0
2017,Idaho,205.0
2018,Idaho,213.0
2018,Idaho,190.0
2018,Idaho,205.0
2018,Idaho,202.0
2018,Idaho,195.0
2019,Idaho,205.0
2019,Idaho,210.0
2019,Idaho,210.0
2019,Idaho,210.0
2019,Idaho,200.0
2020,Idaho,199.0
2020,Idaho,203.0
2020,Idaho,205.0
2020,Idaho,205.0
2020,Idaho,205.0
2021,Idaho,210.0
2021,Idaho,208.0
2021,Idaho,214.0
2021,Idaho,214.0
2021,Idaho,209.0
2022,Idaho,216.0
2022,Idaho,210.0
2022,Idaho,200.0
2022,Idaho,200.0
2022,Idaho,200.0
2023,Idaho,203.0
2023,Idaho,204.0
2023,Idaho,215.0
2023,Idaho,212.0
2023,Idaho,208.0
2024,Idaho,206.0
2024,Idaho,220.0
2024,Idaho,207.0
2024,Idaho,215.0
2024,Idaho,215.0
2025,Idaho,209.0
2025,Idaho,222.0
2025,Idaho,227.0
2025,Idaho,230.0
2000,Illinois,151.0
2000,Illinois,158.0
2000,Illinois,153.0
2000,Illinois,155.0
2000,Illinois,158.0
2001,Illinois,152.0
2001,Illinois,146.0
2001,Illinois,150.0
2001,Illinois,149.0
2001,Illinois,146.0
2002,Illinois,135.0
2002,Illinois,140.0
2002,Illinois,138.0
2002,Illinois,138.0
2002,Illinois,140.0
2003,Illinois,164.0
2003,Illinois,154.0
2003,Illinois,169.0
2003,Illinois,169.0
2003,Illinois,154.0
2004,Illinois,180.0
2004,Illinois,168.0
2004,Illinois,180.0
2004,Illinois,180.0
2004,Illinois,170.0
2005,Illinois,143.0
2005,Illinois,125.0
2005,Illinois,145.0
2005,Illinois,145.0
2005,Illinois,136.0
2006,Illinois,163.0
2006,Illinois,172.0
2006,Illinois,165.0
2006,Illinois,171.0
2006,Illinois,174.0
2007,Illinois,175.0
2007,Illinois,178.0
2007,Illinois,178.0
2007,Illinois,178.0
2007,Illinois,180.0
2008,Illinois,179.0
2008,Illinois,172.0
2008,Illinois,179.0
2008,Illinois,177.0
2008,Illinois,172.0
2009,Illinois,174.0
2009,Illinois,175.0
2009,Illinois,175.0
2009,Illinois,179.0
2009,Illinois,179.0
2010,Illinois,157.0
2010,Illinois,180.0
2010,Illinois,159.0
2010,Illinois,160.0
2010,Illinois,174.0
2011,Illinois,157.0
2011,Illinois,170.0
2011,Illinois,156.0
2011,Illinois,159.0
2011,Illinois,161.0
2012,Illinois,105.0
2012,Illinois,116.0
2012,Illinois,101.0
2012,Illinois,98.0
2012,Illinois,110.0
2013,Illinois,178.0
2013,Illinois,165.0
2013,Illinois,180.0
2013,Illinois,165.0
2014,Illinois,200.0
2014,Illinois,188.0
2014,Illinois,200.0
2014,Illinois,200.0
2014,Illinois,194.0
2015,Illinois,175.0
2015,Illinois,172.0
2015,Illinois,168.0
2015,Illinois,170.0
2015,Illinois,173.0
2016,Illinois,197.0
2016,Illinois,200.0
2016,Illinois,202.0
2016,Illinois,202.0
2016,Illinois,200.0
2017,Illinois,201.0
2017,Illinois,188.0
2017,Illinois,198.0
2017,Illinois,192.0
2017,Illinois,189.0
2018,Illinois,210.0
2018,Illinois,207.0
2018,Illinois,210.0
2018,Illinois,212.0
2018,Illinois,214.0
2019,Illinois,181.0
2019,Illinois,181.0
2019,Illinois,179.0
2019,Illinois,179.0
2019,Illinois,180.0
2020,Illinois,191.0
2020,Illinois,207.0
2020,Illinois,195.0
2020,Illinois,200.0
2020,Illinois,203.0
2021,Illinois,202.0
2021,Illinois,214.0
2021,Illinois,207.0
2021,Illinois,210.0
2021,Illinois,214.0
2022,Illinois,214.0
2022,Illinois,203.0
2022,Illinois,215.0
2022,Illinois,210.0
2022,Illinois,204.0
2023,Illinois,206.0
2023,Illinois,201.0
2023,Illinois,203.0
2023,Illinois,200.0
2023,Illinois,198.0
2024,Illinois,217.0
2024,Illinois,225.0
2024,Illinois,218.0
2024,Illinois,222.0
2024,Illinois,222.0
2025,Illinois,214.0
2025,Illinois,221.0
2025,Illinois,221.0
2025,Illinois,219.0
2000,Indiana,146.0
2000,Indiana,155.0
2000,Indiana,147.0
2000,Indiana,151.0
2000,Indiana,155.0
2001,Indiana,156.0
2001,Indiana,147.0
2001,Indiana,160.0
2001,Indiana,160.0
2001,Indiana,152.0
2002,Indiana,121.0
2002,Indiana,124.0
2002,Indiana,117.0
2002,Indiana,117.0
2002,Indiana,119.0
2003,Indiana,146.0
2003,Indiana,144.0
2003,Indiana,150.0
2003,Indiana,148.0
2003,Indiana,145.0
2004,Indiana,168.0
2004,Indiana,156.0
2004,Indiana,169.0
2004,Indiana,167.0
2004,Indiana,157.0
2005,Indiana,154.0
2005,Indiana,145.0
2005,Indiana,151.0
2005,Indiana,149.0
2005,Indiana,149.0
2006,Indiana,157.0
2006,Indiana,167.0
2006,Indiana,159.0
2006,Indiana,165.0
2006,Indiana,167.0
2007,Indiana,154.0
2007,Indiana,157.0
2007,Indiana,158.0
2007,Indiana,158.0
2007,Indiana,160.0
2008,Indiana,160.0
2008,Indiana,164.0
2008,Indiana,160.0
2008,Indiana,160.0
2008,Indiana,162.0
2009,Indiana,171.0
2009,Indiana,163.0
2009,Indiana,166.0
2009,Indiana,166.0
2009,Indiana,163.0
2010,Indiana,157.0
2010,Indiana,176.0
2010,Indiana,160.0
2010,Indiana,160.0
2010,Indiana,170.0
2011,Indiana,146.0
2011,Indiana,150.0
2011,Indiana,145.0
2011,Indiana,145.0
2011,Indiana,145.0
2012,Indiana,99.0
2012,Indiana,100.0
2012,Indiana,100.0
2012,Indiana,100.0
2012,Indiana,100.0
2013,Indiana,177.0
2013,Indiana,166.0
2013,Indiana,174.0
2013,Indiana,166.0
2014,Indiana,188.0
2014,Indiana,179.0
2014,Indiana,186.0
2014,Indiana,186.0
2014,Indiana,184.0
2015,Indiana,150.0
2015,Indiana,158.0
2015,Indiana,156.0
2015,Indiana,156.0
2015,Indiana,156.0
2016,Indiana,173.0
2016,Indiana,187.0
2016,Indiana,177.0
2016,Indiana,177.0
2016,Indiana,185.0
2017,Indiana,180.0
2017,Indiana,173.0
2017,Indiana,181.0
2017,Indiana,173.0
2017,Indiana,171.0
2018,Indiana,189.0
2018,Indiana,186.0
2018,Indiana,194.0
2018,Indiana,194.0
2018,Indiana,192.0
2019,Indiana,169.0
2019,Indiana,166.0
2019,Indiana,165.0
2019,Indiana,162.0
2019,Indiana,161.0
2020,Indiana,187.0
2020,Indiana,188.0
2020,Indiana,189.0
2020,Indiana,189.0
2020,Indiana,186.0
2021,Indiana,195.0
2021,Indiana,194.0
2021,Indiana,189.0
2021,Indiana,194.0
2021,Indiana,197.0
2022,Indiana,190.0
2022,Indiana,189.0
2022,Indiana,191.0
2022,Indiana,187.0
2022,Indiana,186.0
2023,Indiana,203.0
2023,Indiana,195.0
2023,Indiana,200.0
2023,Indiana,197.0
2023,Indiana,194.0
2024,Indiana,198.0
2024,Indiana,207.0
2024,Indiana,209.0
2024,Indiana,202.0
2024,Indiana,210.0
2025,Indiana,204.0
2025,Indiana,205.0
2025,Indiana,206.0
2025,Indiana,205.0
2000,Iowa,144.0
2000,Iowa,155.0
2000,Iowa,146.0
2000,Iowa,148.0
2000,Iowa,155.0
2001,Iowa,146.0
2001,Iowa,141.0
2001,Iowa,147.0
2001,Iowa,141.0
2001,Iowa,138.0
2002,Iowa,163.0
2002,Iowa,146.0
2002,Iowa,160.0
2002,Iowa,159.0
2002,Iowa,149.0
2003,Iowa,157.0
2003,Iowa,158.0
2003,Iowa,159.0
2003,Iowa,156.0
2003,Iowa,154.0
2004,Iowa,181.0
2004,Iowa,162.0
2004,Iowa,183.0
2004,Iowa,180.0
2004,Iowa,163.0
2005,Iowa,173.0
2005,Iowa,164.0
2005,Iowa,175.0
2005,Iowa,173.0
2005,Iowa,169.0
2006,Iowa,166.0
2006,Iowa,173.0
2006,Iowa,163.0
2006,Iowa,168.0
2006,Iowa,174.0
2007,Iowa,171.0
2007,Iowa,180.0
2007,Iowa,175.0
2007,Iowa,180.0
2007,Iowa,182.0
2008,Iowa,171.0
2008,Iowa,171.0
2008,Iowa,172.0
2008,Iowa,172.0
2008,Iowa,168.0
2009,Iowa,181.0
2009,Iowa,185.0
2009,Iowa,183.0
2009,Iowa,188.0
2009,Iowa,187.0
2010,Iowa,165.0
2010,Iowa,179.0
